family_name	first_name	other_name	Count
Swedenborg	Emanuel	NA	19
Columbus	Samuel	NA	19
Langfeldt	Margrethe	NA	19
Fleming	Claes Adolph	NA	19
Ekmarck	Carl Erik	NA	19
Holmberg	Nils	NA	19
Synnergren	Maja	NA	19
Wåhlin	Johan Peter	NA	19
Bergius	Bengt	NA	19
Rääf	Ingrid	NA	19
Artelius	Helge	NA	19
Alexanderson	Eva	NA	19
Sahlstedt	Abraham	NA	19
Lilljenwalldh	Carl Christian	NA	19
Ekmanson	Johan Samuel	NA	19
NA	NA	Hambré, Carl Per Michael,;Wallin, Josef	19
Hildebrand	Emil	NA	18
Silverstolpe	Gustaf Abraham	NA	18
Sternberg	Rhea	NA	18
Swederus	Magnus	NA	18
Adlersparre	Georg	NA	18
Stangerup	Hakon	NA	18
Lesná-Krausová	Milada	NA	18
Morris	Gus	NA	18
Taube	Gustaf Adam	NA	18
Wattrang	Johan	NA	18
Molanus-Stamperius	M. J	NA	18
Ahlman	Pehr Zacharias	NA	18
Lantingshausen	Jakob Albrekt von	NA	18
Rudenschöld	Carl	NA	18
Linderholm	Olof	NA	18
Wheeler	Hugh	NA	18
Peringskiöld	Johan	NA	18
Stiernman	Anders Anton von	NA	18
Schmidt	Johan Albrecht	NA	18
Tingstadius	Johan Adam	NA	18
Steiner	Marie	NA	18
Westman	Karl Gustaf	NA	17
Collijn	Isak	NA	17
Ellström	Brita	NA	17
Sylvander	Josua	NA	17
Rydelius	Ellen	NA	17
Grevesmöhlen	Carl August	NA	17
Claudi	Jørgen	NA	17
Howard	Velma Swanston	NA	17
Kosterka	Hugo	NA	17
Kraatz	Elise von	NA	17
Stein	Karl	NA	17
Keijser	Jeannette E	NA	17
Oelreich	Niclas von	NA	17
Hallén	Ragnhild	NA	17
Brask	Petrus	NA	17
Wulf	Gustaf Adolf	NA	17
Hellsten	Kärstin	NA	17
Klemming	Gustaf Edvard	NA	16
Edelfelt	Albert	NA	16
Hermelin	Eric	NA	16
Mjöberg	Josua	NA	16
Boheman	Mauritz	NA	16
Gullberg	Hjalmar	NA	16
Österling	Anders	NA	16
Schück	Henrik	NA	16
Andrén	Victor	NA	16
Bock	Orla	NA	16
Stein	Emilie	NA	16
Weigel	Christian Ehrenfried von	NA	16
Tejn	Michael	NA	16
Johnson	Eyvind	NA	16
NA	NA	Hedvig Eleonora	16
Knutsson	Gösta	NA	16
Haslum	Bengt	NA	16
Leffler	Béla	NA	16
Ohlsson	Birger	NA	16
Lindwall	Dagmar	NA	16
Åkesson	Arnold	NA	16
Moe	Louis	NA	16
NA	NA	Gustav	16
Westman	Carl	NA	16
Odencrantz	Tor August	NA	16
Ahlgrén	Catharina	NA	16
NA	NA	Gjörwell, Carl Christoffer,;Aurivillius, Pehr Fabian	16
Hall	James Norman	NA	16
NA	NA	Arvidson, Stellan,;Fontaine, Casimir	16
Aldén	Gustaf A	NA	15
Langlet	Mathilda	NA	15
Rendahl	Carl	NA	15
Gerhard	Karl	NA	15
Norlind	Ernst	NA	15
Berzelius	Jacob	NA	15
NA	NA	Roland	15
Ruuth	Eric	NA	15
Hammarberg	Henrik	NA	15
Törnflycht	Mikael	NA	15
Kexél	Olof	NA	15
Ekelund	Jacob	NA	15
Lindwall	Gustaf	NA	15
Chydenius	Anders	NA	15
Nathorst	Hjalmar	NA	15
Olsén	Anders	NA	15
Numers	Lorenz von	NA	15
Tiderus	Arvid	NA	15
Löwstädt	Carl Theodor	NA	15
Humble	Christopher Nilsson	NA	15
Uttini	Francesco Antonio	NA	15
Trysén	Petrus	NA	15
Hertzman	Johan Adolf	NA	15
NA	NA	Gjörwell, Carl Christoffer,;Siede, Johann Christian,;Stechau, Johan Adolf	15
NA	NA	Bredow, G. G.;Venturini, Carl	15
Hiorter	Olof	NA	15
Melander	Styrbjörn	NA	15
Forsberg	Dea	NA	15
Malmström	August	NA	14
Bäckström	P. O	NA	14
Steffen	Richard	NA	14
Pauli	Georg	NA	14
Ålund	Otto Wilhelm	NA	14
Åberg	Emil	NA	14
NA	NA	Loebell, Johann Wilhelm,;Woltmann, Johann Gottfried,;Menzel, Karl Adolf,;Menzel, Wolfgang	14
Jungstedt	Kurt	NA	14
Wieselgren	Peter	NA	14
Södersten	Stig	NA	14
Törneblad	Bengt Johan	NA	14
Mann	Mathilde	NA	14
NA	NA	Bremer, Fredrika,;Bremer, Fredrika	14
Ekholm	Erik	NA	14
Magnus	Drude	NA	14
Klika	Bohumil	NA	14
Wilson	S. S	NA	14
Abenius	Margit	NA	14
Gyllenstierna	Carl	NA	14
Armfelt	Gustaf Mauritz	NA	14
Elgström	Ossian	NA	14
Myrdal	Gunnar	NA	14
Gerhard	Åke	NA	14
Vallquist	Gunnel	NA	14
Wallin	Johan Olof	NA	14
Dahl	Hjalmar	NA	14
Nordenskiöld	Adolf Erik	NA	14
Höijer	Joseph Otto	NA	14
Björkegren	Jacob	NA	14
Lindberg	Verna	NA	14
Rutström	Anders Carl	NA	14
Melander	Richard	NA	14
Löwenhielm	G. S	NA	14
NA	NA	Tammelin, Th.;Lindqvist, Sune,;Lindqvist, John	14
Horrn	Johan Laurentius	NA	14
Hambré	Michael	NA	14
Möller	Johan	NA	14
Nyrén	Carl	NA	14
Knöppel	Christopher	NA	14
Gravander	Per Olof	NA	14
Roman	Christian Gustafsson	NA	14
NA	NA	Fischer, Christian August,;Gjörwell, Carl Christoffer	14
Burman	Eric	NA	14
Bilberg	Gustaf Otto	NA	14
Schön	Anders	NA	14
Engström	Albert	NA	13
Tranér	Johan Vindician	NA	13
Jonason	Olov	NA	13
NA	NA	Sefve, Ivar,;Pehrson, Torsten	13
Asplund	Karl	NA	13
Mörner	Birger	NA	13
Wallin	Sigurd	NA	13
Kaeser	Hildegard Johanna	NA	13
Nordenskjöld	Birgitta	NA	13
Goethe	Johann Wolfgang von	NA	13
Eek	Claës	NA	13
Mikes	Lajos	NA	13
Rehnberg	Mats	NA	13
Atterbom	Ebba	NA	13
Norin	Carl-Henrik	NA	13
Düring	Johan Christoffer von	NA	13
Stedingk	Victor von	NA	13
Tersmeden	Fredrik	NA	13
Piper	Peter Bernhard	NA	13
Sparre	Axel Wrede	NA	13
Nyman	Hilding	NA	13
Bie	Nils	NA	13
Jonsson	Oscar	NA	13
Boström	Christopher Jacob	NA	13
Lannmark	Gustav	NA	13
NA	NA	Noreen, Erik,;Wennström, Torsten	13
Bergius	Nicolaus	NA	13
Zacke	Alvar	NA	13
Nyblom	Gösta	NA	13
Kuylenstierna-Wenster	Elisabeth	NA	13
Hemmel	Sven	NA	13
Lindman	Maj	NA	13
Gummeson	Per	NA	13
Tempelman	Olof Samuel	NA	13
Amnelius	Andreas Petri	NA	13
Kjellberg	Nils	NA	13
Lybecker	Axel	NA	13
Nisbeth	Natalia	NA	13
Lundblad	Sven	NA	13
Malmgren	Simon Magnus	NA	13
NA	NA	Hammarsköld, Lorenzo,;Rothlieb, Carl Fredrik	13
Skarstedt	Sigfrid	NA	12
NA	NA	Odhelius, Thore,;Holmberg, Johan Christopher	12
Söderlund	Ernst	NA	12
Iseborg	Harry	NA	12
Tigerstedt	Robert	NA	12
Thyselius	Erik	NA	12
Unger	C. R	NA	12
Geijerstam	Gustaf af	NA	12
Julin-Fabricius	Christian	NA	12
Wallmark	Peter Adam	NA	12
Geijer	Erik Gustaf	NA	12
Rudbeckius	Johannes	NA	12
Scheutz	Georg	NA	12
Gjesdahl	Paul	NA	12
Winkel Horn	Frederik	NA	12
Logeman-van der Willigen	Dina	NA	12
Duurloo	Ellen	NA	12
Rypácek	Karel V	NA	12
NA	NA	Hansen Hagmund	12
Thommessen	O	NA	12
Grafström	Ernst	NA	12
Klett	Gertrud Ingeborg	NA	12
Högstedt	Jerry	NA	12
Blomquist	Kurt	NA	12
Lundgren	Gunnar	NA	12
Lindberg	Erik	NA	12
Ströyer	Poul	NA	12
Gyldenhoff	Baltasar	NA	12
Dernath	Gerhard von	NA	12
Ridderstolpe	Fredrik Vilhelm	NA	12
Ekeblad	Clas	NA	12
Skogman	Carl David	NA	12
Langlet	Valdemar	NA	12
Zilliacus	Emil	NA	12
Holmgrain	Oscar V	NA	12
Silfverstolpe	E	NA	12
Granlund	Johannes	NA	12
Wendell	Henning	NA	12
Stridsberg	Carl	NA	12
Viherjuuri	H[illari] J[ohannes]	NA	12
NA	NA	Eugen	12
Dahlbom	Wilhelm	NA	12
Kotas	Walther Hjalmar	NA	12
Liukko	Terttu	NA	12
Grünewald	Isaac	NA	12
Gahm Persson	Sigfrid Lorentz	NA	12
Björk	Edvin	NA	12
Chenon	Leonhard Johan	NA	12
Blomberg	Carl Peter	NA	12
Roberg	Lars	NA	12
NA	NA	Broocman, Reinerus,;Münchenberg, Anton	12
NA	NA	Wadström, Carl Gustaf,;Hedblad, Johan Fabian	12
Liedbeck	Lars	NA	12
NA	NA	Andersson, Aksel,;Carlsson, Alfred Bernhard	12
Jusélius	Jenny	NA	12
Edelberg	G	NA	12
Gustaver	Bror	NA	12
NA	NA	J. M-n	12
Tunberg	Sven	NA	11
Hagnell	Axel	NA	11
Topelius	Zacharias	NA	11
Påhlman	John M	NA	11
Hellqvist	Carl Gustaf	NA	11
Grimm	Wilhelm	NA	11
Gripenberg	Bertel	NA	11
Lönnbeck	Arne	NA	11
Lybeck	Bertil	NA	11
NA	NA	Woltmann, Johann Gottfried,;Loebell, Johann Wilhelm,;Menzel, Karl Adolf,;Menzel, Wolfgang	11
Lundkvist	Artur	NA	11
Höpken	Carl Fredrik von	NA	11
NA	NA	Borg, Selma,;Shipley, Marie A.	11
Philipson	Lorens Münter	NA	11
Borchsenius	Otto	NA	11
Heise	Sonja	NA	11
Wickman	Kewe	NA	11
Stråby	Helge	NA	11
Kroon	John	NA	11
Hagberg	Carl August	NA	11
Fersen	Axel von	NA	11
NA	NA	Larsson, Carl,;Edelfelt, Albert	11
Benzelstierna	Matthias	NA	11
Sparre	Fredrik	NA	11
Zander	Johan Daniel	NA	11
Jonsson	Thorsten	NA	11
NA	NA	Valdimar Ásmundarson	11
Bondestam	Anna	NA	11
Strömbom	Sixten	NA	11
Sefström	Eric	NA	11
Hagelberg	Herman	NA	11
Carlberg	Berndt	NA	11
Adlerbeth	Gudmund Jöran	NA	11
Grafström	E	NA	11
Lundquist	Birger	NA	11
Carlsson	Else Marie	NA	11
Renner	Louis	NA	11
Tengström	Jacob	NA	11
Sjöbeck	Håkan Fredrik	NA	11
Lindström	Ingegerd	NA	11
NA	NA	Astrid	11
Arosiandrinus	Andreas Johannis	NA	11
Kullman	Emilie	NA	11
NA	NA	Modée, Reinhold Gustaf,;Lindhielm, Hedvig Eleonora,;Fougt, Elsa	11
Haeggström	Zacharias	NA	11
Schönberg	Anders	NA	11
NA	NA	Svedenstierna, Eric Thomas,;Lidbeck, Carl Johan	11
Strandman	Erik O	NA	11
Schéele	Frans von	NA	10
Gullers	K. W	NA	10
Bauer	John	NA	10
Boëthius	Simon Johannes	NA	10
Upmark	Gustaf	NA	10
Sjövall	Einar	NA	10
Malmberg	Bertil	NA	10
Nordlander	Johan	NA	10
Rydberg	Viktor	NA	10
Swederus	Georg	NA	10
Lagercrantz	Olof	NA	10
Sundström	Lennart	NA	10
Ahnfelt	Arvid	NA	10
Kiellman-Göranson	Julius Axel	NA	10
Rancken	Johan Oskar Immanuel	NA	10
Forssell	Hans	NA	10
Hildebrand	Bror Emil	NA	10
Hedrén	Johan Jacob	NA	10
Hesselman	Bengt	NA	10
Wilstadius	Paul	NA	10
Franzén	Frans Michael	NA	10
Brausewetter	Ernst	NA	10
Bang-Hansen	Odd	NA	10
Hansen	Hagmund	NA	10
Ohnesorg	Karl	NA	10
Stork	Charles Wharton	NA	10
Thörnberg	Nils	NA	10
Stoopendaal	Georg	NA	10
Sten	Anders	NA	10
Schwab	Eigil	NA	10
Fock	Berndt Wilhelm	NA	10
Fersen	Fabian Reinhold von	NA	10
Mannerskants	Nils	NA	10
Palmsvärd	Johan Eric	NA	10
Fredenstierna	Adam	NA	10
Bäck	Abraham	NA	10
NA	NA	Liljencrants, Johan,;Ugglas, Samuel af	10
Löwenhielm	Carl Gustaf	NA	10
Boelen-Ranneft	Nanne	NA	10
Krawe	C	NA	10
Wessén	Elias	NA	10
Brusewitz	E	NA	10
Collin	Johan Gabriel	NA	10
Nyman	Thure	NA	10
Wahlund	Per Erik	NA	10
Wickman	Asta	NA	10
Erixon	Sigurd	NA	10
Benzelius	Erik	NA	10
Spies	Margarethe	NA	10
Essén	Ingeborg	NA	10
Backman	Pehr	NA	10
Retzius	Gustaf	NA	10
Vallerius	Johannes	NA	10
Bengtsson	Frans G	NA	10
Westerlund	Hans G	NA	10
Schéel	Fritz	NA	10
Allwood	Martin	NA	10
Walter	Emil	NA	10
Krumlinde	Carl Olof Theodor	NA	10
Fougstedt	Arvid	NA	10
Lenngren	Anna Maria	NA	10
Holmén	Bengt	NA	10
Jernström	Harald	NA	10
Messenius	Johannes	NA	10
Österling	Carl Gustaf	NA	10
Hadorph	Johan	NA	10
Boëthius	Jacob	NA	10
Loccenius	Johannes	NA	10
Preutz	Laurentius Johannis	NA	10
Tirén	Gerda	NA	10
Nordenadler	H	NA	10
Tilas	Daniel Axel	NA	10
Odhelius	Johan Lorens	NA	10
Bergeström	Hans	NA	10
Nordenskiöld	Carl Fredrik	NA	10
Fjellström	Pehr	NA	10
Wilde	Anders	NA	10
Nicander	Anders	NA	10
Granberg	Per Adolf	NA	10
Carleson	Carl	NA	10
Nordquist	N	NA	10
Cornelius	Henrik Magnus	NA	10
NA	NA	Halldin, Johan Gustaf,;Bergström, Pehr,;Collander, Hans Per	10
Björn	Didric Gabriel	NA	10
Böcker	Carl Christian	NA	10
Tammelin	Lars	NA	10
Thorngren-Olin	Siri	NA	10
Adelborg	Ottilia	NA	9
Björkman	Göran	NA	9
Envallsson	Carl	NA	9
Schildt	Irma	NA	9
Enbom	Stephan Olofsson	NA	9
Kastman	Knut	NA	9
Larsson	Ludvig	NA	9
Hjortzberg	Olle	NA	9
Sundbärg	Gustav	NA	9
Hazelius	Artur	NA	9
Nyblom	Carl Rupert	NA	9
Harrie	Ivar	NA	9
Post	Lennart von	NA	9
Branting	Hjalmar	NA	9
Brunius	Thor	NA	9
Bergstrand	Allan	NA	9
Kastman	Carl	NA	9
Schager	Ingeborg	NA	9
Elvin	Axel	NA	9
Gyllenborg	Sophie	NA	9
Schöldström	Birger	NA	9
NA	NA	Jón Helgason	9
Ahlström	Jacob Niclas	NA	9
Hanselli	Per	NA	9
Frigell	Anders	NA	9
Lind	Jenny	NA	9
Lovén	Nils	NA	9
Eneroth	Hjalmar	NA	9
Sjögren	Arthur	NA	9
Flintenberg	Johan David	NA	9
Hollander-Lossow	Else von	NA	9
Gullberg	Helge	NA	9
Zorn	Anders	NA	9
Lidman	Sven	NA	9
Pfeiff	Victor	NA	9
Sundin-Wickman	Ulla	NA	9
Regnér	Gustaf	NA	9
Skjöld	Erik Gustaf	NA	9
Juel Jørgensen	Grete	NA	9
Hedin	Sven	NA	9
Gay	Marguerite	NA	9
Thulin	Sven	NA	9
Cederblad	Johanne Grieg	NA	9
Rasmussen	Gerhard	NA	9
NA	NA	Baars-Jelgersma, Greta;Ravn, Rolv	9
Schulzenheim	Conrad Theodor von	NA	9
NA	NA	Karl-Lennart	9
Hoff-Jørgensen	Asta	NA	9
Rendahl	Hialmar	NA	9
NA	NA	Nils-Georg	9
Edenhjelm	Gillis	NA	9
Keyser	Henrich	NA	9
NA	NA	Kristina	9
Öman	Annicka	NA	9
Palmquist	Eric	NA	9
Löwenhielm	Gustaf	NA	9
Lagerheim	Carl Eric	NA	9
Lagerbjelke	Johan Gustaf	NA	9
Höglund	Zeth	NA	9
Skarstedt	Ernst	NA	9
Löwenhielm	Carl Axel	NA	9
Liliestråle	Joachim Wilhelm	NA	9
Fersen	Hans von	NA	9
Scheffer	Peter	NA	9
Bergman	Gösta	NA	9
Hansson	Ola	NA	9
Stubbendorff	Knut	NA	9
Grünbaum	Ebba	NA	9
Järvinen	Laila	NA	9
Weste	Erik Wilhelm	NA	9
Nyquist	Walter	NA	9
Peterson-Berger	Wilhelm	NA	9
Gorter-Keyser	J. E	NA	9
Brisman	Sven	NA	9
Stallarholm	Uno	NA	9
Belin	David	NA	9
Ekelund	Ragnar	NA	9
Grünbaum	David	NA	9
Carlberg	Carl David Hugo	NA	9
Broocman	Carl Ulric	NA	9
Bergman	Oskar	NA	9
Stevens	Gösta	NA	9
Ekman Nordgaard	Ingrid	NA	9
Noreen	Adolf	NA	9
Nohrström	Holger	NA	9
Lindegren	Erik	NA	9
Wåhlin	Carl Ludvig	NA	9
Hirvensalo	Lauri	NA	9
Liljegren	Johan Gustaf	NA	9
Ollén	Gunnar	NA	9
NA	NA	Davidson, Aslög;Thulin, Elsa	9
Terning	Oskar	NA	9
Holmberg	Olle	NA	9
Hjelm	Peter Jacob	NA	9
Fagerlind	Oscar	NA	9
Hansson	Nils E	NA	9
Peters	Knut	NA	9
Bureus	Johannes	NA	9
Aurelius	Aegidius Matthiæ	NA	9
Schefferus	Johannes	NA	9
Danielsson	S. B. T	NA	9
Nyström	Petter Jöransson	NA	9
Hasselrot	Mathias	NA	9
Helsingius	Daniel Georgii	NA	9
Denell	Jöns Henric	NA	9
Ekebom	Leonhard	NA	9
Sommelius	Magnus	NA	9
Lindströmer	Eric Magnus	NA	9
Åberg	Carl P	NA	9
Eklund	Mårten	NA	9
Hesselberg	Peter	NA	9
Tidén	Lars	NA	9
NA	NA	Radloff, Fredric Wilhelm,;Böcker, Carl Christian	9
Laurelius	Olof	NA	9
NA	NA	Erixon, Sigurd;Ericson, Olof	9
Silfverstolpe	Carl	NA	8
Goës	A	NA	8
Lindqvist	Rafael	NA	8
Goldschmidt	M. A	NA	8
Billow	Anders	NA	8
Weibull	Martin	NA	8
Looström	Ludvig	NA	8
Andersson	Ingvar	NA	8
Indebetou	Hedvig	NA	8
Hedvall	Yngve	NA	8
Lee	Julia	NA	8
Lundgren	Hjalmar	NA	8
Afzelius	Arvid August	NA	8
Rudin	Per	NA	8
Le Tourneur	Pierre	NA	8
Tegnér	Esaias	NA	8
Carlén	Johan Gabriel	NA	8
Henrikson	Alf	NA	8
Hellbusch	M	NA	8
Holm	Erich	NA	8
Åsberg	Stig	NA	8
Bagge	Lorenz Peter	NA	8
Stenström-Rogberg	Britta	NA	8
Fägersten	Karl	NA	8
Wachenhusen	Hans	NA	8
Melander	Carl Anton	NA	8
Runeberg	Johan Ludvig	NA	8
Lindblad	Gösta	NA	8
Brander	Herbert	NA	8
NA	NA	Ek, Sverker,;Sjöding, Allan	8
Akselson	Aksel	NA	8
Bergegren	Hinke	NA	8
Ipsen	Alfred	NA	8
Lundström	Vilhelm	NA	8
Lukkien	A	NA	8
Šuman	Viktor	NA	8
Bergman	Stina	NA	8
Lindgren	Hellen	NA	8
Kröningssvärd	Carl Gustaf	NA	8
Hämeen-Anttila	Väinö	NA	8
Afzelius	Nils	NA	8
Romdahl	Axel L	NA	8
Lysander	Albert Theodor	NA	8
NA	NA	Sigismund	8
NA	NA	Bremer, Fredrika,;Bremer, Fredrika,;Bremer, Fredrika,;Bremer, Fredrika	8
Hedlund	Bertil Bull	NA	8
Örnulf	Gunnar	NA	8
Lagerstedt	Georg	NA	8
Schulzenheim	David von	NA	8
Berggren	Edward	NA	8
Posse	Arvid Eric	NA	8
Liljensparre	Henrik	NA	8
Johanson	Klara	NA	8
Geete	Robert	NA	8
Liewen	Hans Henric von	NA	8
NA	NA	Adolf Fredrik	8
Schantz	Johan Fredrik von	NA	8
Key	Ellen	NA	8
Wiborg	Anders	NA	8
Wallin	Ellis	NA	8
Lundblad	Johan Fredrik af	NA	8
Baars-Jelgersma	Greta	NA	8
Bring	Samuel E	NA	8
Schnell	Ivar	NA	8
Aurivillius	Pehr Fabian	NA	8
Goebel	Heinrich	NA	8
Troil	Uno von	NA	8
Sandberg	Sven-Olof	NA	8
Nettelbla	Christian von	NA	8
Norberg	Matthias	NA	8
Munch	Edvard	NA	8
Wejdling	Signild	NA	8
